Genotyp: 1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1 | size: 18
Genotyp: 1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1 | size: 18
Genotyp: 1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1 | size: 18
Genotyp: 1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1 | size: 18
Genotyp: 1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0 | size: 18
Genotyp: 1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0 | size: 18
Genotyp: 1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0 | size: 18
Genotyp: 0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0 | size: 18
Genotyp: 0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0 | size: 18
Genotyp: 0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0 | size: 18
Genotyp: 0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0 | size: 18
